huc8,ensemble_mean_et,eemetric_mean_et,ssebop_mean_et,disalexi_mean_et,ptjpl_mean_et,geesebal_mean_et,mean_eto,mean_pr
13020204,262.32184702497096,244.13490087350297,186.1786766283167,341.87184397106614,305.55055048956683,354.17395666672843,1565.023888169995,304.1087688950173
13020205,260.2789525545714,292.68183918559026,169.2538859444797,352.20726549691506,302.4565378248144,297.09234943197333,1483.036801711094,308.92094976681955
14070005,330.8064706143053,212.5425130314987,274.10587061807723,413.4290607986544,333.51994487173795,505.0697460007551,1409.0143168881964,239.95567715759717
16030002,428.28568647663553,346.5879792364241,355.2309269320963,473.345471574237,455.4203489431229,494.5169400825739,1153.879732961525,368.04693700228574
14070001,304.8305679073612,163.54899293564398,273.62514673335176,407.3213032343008,306.4667042033197,461.8794987430564,1546.870004857118,183.93031179843308
14070003,312.10693061497875,268.6215194086966,245.9415377520922,376.7906117834847,313.417605182305,409.3141263490105,1317.8244724806082,286.9291755562565
14070004,203.44615388702627,104.83597937599964,144.35857179017304,291.92653858289884,231.38461504667717,393.50694036804606,1408.0976838109498,162.3826387542074
14060008,221.8338848610545,132.37267376526128,146.66118331976136,312.7048040167113,240.68258290975737,397.3984279125642,1300.4314380187286,165.15560403555023
14060006,408.8824506795158,362.4881794482345,330.4570567181186,495.01336613040206,405.8711981560181,465.70690991279565,1197.851177739667,311.82350744102814
14060005,375.8559528321747,302.581918051991,332.33490344818244,458.3733356778898,387.6416545456742,404.2575113255003,1285.6266216772392,300.0926467780307
14070002,239.2134522212984,185.55492402746967,171.07837899389486,325.34131069499887,248.39191314726816,342.69713697759937,1335.1620016098211,217.3053673490596
16030003,492.0126970626999,406.514538118042,396.35604845248855,511.6569140802852,500.1132167148833,591.5533459020836,1241.574535021164,396.0532324463571
16020202,657.1914581256343,469.3705364777846,574.3622143651543,715.3290429654035,673.2781684239245,721.0224793620906,1049.6507967039215,653.8707418211442
16020203,642.2277528954015,495.8921372277654,559.1541881921445,648.1040655153635,640.0255516222071,720.0749936797273,1006.518853452852,766.9939055596819
14060004,518.9709604052027,463.7665388989987,443.8620048363584,558.1341015824012,495.48704707373207,533.3364918482115,1105.586660136678,508.61178798188047
14060003,472.7128700500159,460.60792993589007,369.9361213789255,510.1413914789072,450.87146715022914,480.61336805714114,1116.8198946995085,480.3676369798766
14050004,308.9267582175266,286.5568051526738,172.95299429706813,417.138730978239,343.0208448859605,350.8335531988027,1087.831448375963,390.88567697583375
