huc8,ensemble_mean_et,eemetric_mean_et,ssebop_mean_et,disalexi_mean_et,ptjpl_mean_et,geesebal_mean_et
10190006,583.1496014462098,504.5296813382903,556.5167064105835,600.5439788134879,593.0146979244214,539.4189292059176
11020001,539.2390904948466,555.5657614978328,500.3809703789692,559.422162593857,531.3366936993743,485.1960418231335
14060009,309.67447318776186,228.97014220963905,219.45857140870888,353.445484448393,358.9872973633536,417.397518011457
14060007,392.4540132470501,326.72372016933,320.1767524558584,441.0706745654954,446.4043292041381,463.6785259421369
16030004,528.5835036009987,429.81424252024925,535.9006592287822,550.5633166049605,549.8969598554902,505.0724945424929
10190007,517.8907238348435,486.253501153769,514.3421070886633,541.8042973489231,522.2707100638916,361.2410866238536
10080002,381.3510607158725,321.8337260158402,279.4160227015328,382.203479028023,460.8106467552555,424.7302176863261
10080003,461.6261065022358,440.8753836044692,441.7688992496624,436.1567541371219,500.3793034497574,399.28584364089255
14080204,322.5678208162379,210.2364555555436,273.7136072270089,370.3816329650553,423.6007005207678,405.1556673711442
14080201,359.10308485456403,211.69204836279488,262.6421231763701,435.7194052684587,437.9202795325558,465.4959178078988
14080105,392.32629102718806,304.0765736167437,277.0524634107974,449.5090326896111,497.8870665966809,486.82546351174375
14040106,449.7054158991436,370.5494240195964,395.8664183898727,456.0097929330637,497.6544577290158,455.26046605475057
16010102,500.4614837426757,442.7566327698215,429.4213809287396,539.7105444282564,551.8079585645697,504.3740567808807
15040007,572.158170578946,659.9861344506478,480.5148982798863,574.7248334655612,649.5318624799503,547.0117457138979
15020005,434.66281057998896,376.0243266100609,395.0397752949318,452.3638539773942,589.4982079142563,400.7851869007328
15060104,710.4904470024668,577.1373259013436,712.1437631669378,722.3087137694203,816.2880264525088,663.4230073153275
15060103,741.890863878149,690.8030146857146,707.9112365662395,750.2334051648776,810.575283766578,721.227976302263
15060105,725.4007290852186,589.8267652667682,778.7676907959842,747.4312878912381,796.1767885409791,656.0227154839289
15060106,485.1872725308573,480.06737290129394,388.5671828754905,521.121762036806,491.0438843724157,642.4197622075322
